plot_id,panel,series,x_index,x_value,y,yerr,unit,p_value,stars
best_channel_per_subject,acc,fbcca,0,1,52.5,5.244044240850757,percent,0.0008820679301849906,***
best_channel_per_subject,acc,fbcca,1,2,76.25,7.541551564499178,percent,0.10986650103422634,
best_channel_per_subject,acc,fbcca,2,3,92.91666666666667,3.6799003609699343,percent,0.0755868184216124,
best_channel_per_subject,acc,fbcca,3,4,95.0,4.472135954999579,percent,0.011724811003954675,*
best_channel_per_subject,acc,fbcca,4,5,91.66666666666666,6.0553007081949835,percent,0.14381080871160384,
best_channel_per_subject,acc,fbcca,5,6,85.83333333333334,5.163977794943222,percent,0.11738679514629331,
best_channel_per_subject,acc,fbcca,6,7,68.33333333333334,10.206207261596575,percent,0.6560348506469724,
best_channel_per_subject,acc,fbcca,7,8,72.91666666666666,10.537630979810721,percent,0.030242939101223627,*
best_channel_per_subject,acc,fbcca,8,9,65.0,7.905694150420952,percent,0.0070775979254982255,**
best_channel_per_subject,acc,fbcca,9,10,82.91666666666667,6.208193510729726,percent,0.015452621285895014,*
best_channel_per_subject,acc,fbcca,10,11,10.416666666666668,6.785400995274095,percent,0.1105666907312356,
best_channel_per_subject,acc,fbcca,11,12,93.33333333333333,5.400617248673216,percent,0.17468781426411922,
best_channel_per_subject,acc,fbcca,12,13,70.83333333333334,11.583033569262703,percent,0.36321746764912244,
best_channel_per_subject,acc,fbcca,13,14,89.16666666666666,4.377975178854566,percent,0.0014565817942910001,**
best_channel_per_subject,acc,fbcca,14,15,77.08333333333334,5.342440141608202,percent,0.1746878142641195,
best_channel_per_subject,acc,fbcca,15,16,63.33333333333333,17.795130420052185,percent,0.084241519629393,
best_channel_per_subject,acc,fbcca,16,17,64.16666666666666,9.958246164193104,percent,0.00459584394424428,**
best_channel_per_subject,acc,fbcca,17,18,74.58333333333333,7.651252620758687,percent,0.0755868184216124,
best_channel_per_subject,acc,fbcca,18,19,52.916666666666664,9.140113055464177,percent,0.36321746764912244,
best_channel_per_subject,acc,fbcca,19,20,87.08333333333334,6.967184988692826,percent,0.28922458913779103,
best_channel_per_subject,acc,fbcca,20,21,84.58333333333331,7.97130269571208,percent,0.0755868184216124,
best_channel_per_subject,acc,fbcca,21,22,95.83333333333334,3.763863263545402,percent,0.0755868184216124,
best_channel_per_subject,acc,fbcca,22,23,84.16666666666669,11.254628677422753,percent,0.7411538220687426,
best_channel_per_subject,acc,fbcca,23,24,94.16666666666666,4.377975178854564,percent,0.004104715980053322,**
