setup,t_w,subject,acc_fb,itr_fb,acc_ph,itr_ph,acc_diff,itr_diff
All9,0.25,1,0.0625,1.9937156013701594,0.04583333333333333,0.6975581423253215,-0.01666666666666667,-1.2961574590448377
All9,0.25,2,0.05,0.9707211136362424,0.0625,1.9937156013701594,0.012499999999999997,1.022994487733917
All9,0.25,3,0.09166666666666666,5.326683855714293,0.09583333333333334,5.8919271807803035,0.00416666666666668,0.5652433250660103
All9,0.25,4,0.09583333333333334,5.8919271807803035,0.10833333333333334,7.701767626942494,0.012499999999999997,1.8098404461621902
All9,0.25,5,0.07083333333333333,2.823553652844113,0.08333333333333333,4.257924311910252,0.012499999999999997,1.4343706590661394
All9,0.25,6,0.03333333333333333,0.12563930350495411,0.04583333333333333,0.6975581423253215,0.012499999999999997,0.5719188388203674
All9,0.25,7,0.05416666666666667,1.279471656197856,0.05,0.9707211136362424,-0.004166666666666666,-0.3087505425616137
All9,0.25,8,0.020833333333333332,0.0,0.0375,0.2709103510767563,0.016666666666666666,0.2709103510767563
All9,0.25,9,0.0625,1.9937156013701594,0.06666666666666667,2.3950576805287227,0.004166666666666666,0.40134207915856335
All9,0.25,10,0.075,3.27771898741255,0.0625,1.9937156013701594,-0.012499999999999997,-1.2840033860423907
All9,0.25,11,0.029166666666666667,0.03290421091831679,0.025,0.0,-0.004166666666666666,-0.03290421091831679
All9,0.25,12,0.0375,0.2709103510767563,0.04583333333333333,0.6975581423253215,0.008333333333333331,0.4266477912485652
All9,0.25,13,0.05,0.9707211136362424,0.041666666666666664,0.46305678502398384,-0.008333333333333338,-0.5076643286122585
All9,0.25,14,0.08333333333333333,4.257924311910252,0.1,6.4766632127229515,0.016666666666666677,2.218738900812699
All9,0.25,15,0.03333333333333333,0.12563930350495411,0.029166666666666667,0.03290421091831679,-0.004166666666666666,-0.09273509258663733
All9,0.25,16,0.0375,0.2709103510767563,0.03333333333333333,0.12563930350495411,-0.004166666666666666,-0.1452710475718022
All9,0.25,17,0.05,0.9707211136362424,0.0375,0.2709103510767563,-0.012500000000000004,-0.699810762559486
All9,0.25,18,0.041666666666666664,0.46305678502398384,0.06666666666666667,2.3950576805287227,0.025,1.9320008955047387
All9,0.25,19,0.0375,0.2709103510767563,0.029166666666666667,0.03290421091831679,-0.008333333333333331,-0.23800614015843952
All9,0.25,20,0.041666666666666664,0.46305678502398384,0.05,0.9707211136362424,0.008333333333333338,0.5076643286122585
All9,0.25,21,0.03333333333333333,0.12563930350495411,0.041666666666666664,0.46305678502398384,0.008333333333333331,0.3374174815190297
All9,0.25,22,0.09583333333333334,5.8919271807803035,0.09166666666666666,5.326683855714293,-0.00416666666666668,-0.5652433250660103
All9,0.25,23,0.07083333333333333,2.823553652844113,0.05416666666666667,1.279471656197856,-0.016666666666666663,-1.544081996646257
All9,0.25,24,0.04583333333333333,0.6975581423253215,0.07916666666666666,3.7562353481180457,0.03333333333333333,3.058677205792724
All9,0.25,25,0.029166666666666667,0.03290421091831679,0.04583333333333333,0.6975581423253215,0.016666666666666663,0.6646539314070048
