setup,t_w,subject,acc_fb,itr_fb,acc_ph,itr_ph,acc_diff,itr_diff
Oz,0.25,1,0.03333333333333333,0.12563930350495411,0.07083333333333333,2.823553652844113,0.0375,2.697914349339159
Oz,0.25,2,0.075,3.27771898741255,0.09166666666666666,5.326683855714293,0.016666666666666663,2.048964868301743
Oz,0.25,3,0.12083333333333333,9.669244191826964,0.15,14.797476683464104,0.02916666666666666,5.1282324916371405
Oz,0.25,4,0.03333333333333333,0.12563930350495411,0.041666666666666664,0.46305678502398384,0.008333333333333331,0.3374174815190297
Oz,0.25,5,0.075,3.27771898741255,0.075,3.27771898741255,0.0,0.0
Oz,0.25,6,0.041666666666666664,0.46305678502398384,0.05,0.9707211136362424,0.008333333333333338,0.5076643286122585
Oz,0.25,7,0.058333333333333334,1.6212114546891792,0.075,3.27771898741255,0.016666666666666663,1.656507532723371
Oz,0.25,8,0.041666666666666664,0.46305678502398384,0.041666666666666664,0.46305678502398384,0.0,0.0
Oz,0.25,9,0.04583333333333333,0.6975581423253215,0.04583333333333333,0.6975581423253215,0.0,0.0
Oz,0.25,10,0.07916666666666666,3.7562353481180457,0.1,6.4766632127229515,0.020833333333333343,2.720427864604906
Oz,0.25,11,0.0375,0.2709103510767563,0.0375,0.2709103510767563,0.0,0.0
Oz,0.25,12,0.029166666666666667,0.03290421091831679,0.025,0.0,-0.004166666666666666,-0.03290421091831679
Oz,0.25,13,0.025,0.0,0.020833333333333332,0.0,-0.004166666666666669,0.0
Oz,0.25,14,0.041666666666666664,0.46305678502398384,0.075,3.27771898741255,0.03333333333333333,2.814662202388566
Oz,0.25,15,0.03333333333333333,0.12563930350495411,0.06666666666666667,2.3950576805287227,0.03333333333333333,2.2694183770237686
Oz,0.25,16,0.03333333333333333,0.12563930350495411,0.07916666666666666,3.7562353481180457,0.04583333333333333,3.6305960446130916
Oz,0.25,17,0.0625,1.9937156013701594,0.0625,1.9937156013701594,0.0,0.0
Oz,0.25,18,0.05,0.9707211136362424,0.1,6.4766632127229515,0.05,5.50594209908671
Oz,0.25,19,0.04583333333333333,0.6975581423253215,0.020833333333333332,0.0,-0.024999999999999998,-0.6975581423253215
Oz,0.25,20,0.041666666666666664,0.46305678502398384,0.058333333333333334,1.6212114546891792,0.01666666666666667,1.1581546696651954
Oz,0.25,21,0.029166666666666667,0.03290421091831679,0.0375,0.2709103510767563,0.008333333333333331,0.23800614015843952
Oz,0.25,22,0.04583333333333333,0.6975581423253215,0.06666666666666667,2.3950576805287227,0.020833333333333336,1.697499538203401
Oz,0.25,23,0.029166666666666667,0.03290421091831679,0.0375,0.2709103510767563,0.008333333333333331,0.23800614015843952
Oz,0.25,24,0.075,3.27771898741255,0.12083333333333333,9.669244191826964,0.04583333333333334,6.391525204414414
Oz,0.25,25,0.029166666666666667,0.03290421091831679,0.0375,0.2709103510767563,0.008333333333333331,0.23800614015843952
Oz,0.25,26,0.008333333333333333,0.0,0.0375,0.2709103510767563,0.029166666666666667,0.2709103510767563
Oz,0.25,27,0.041666666666666664,0.46305678502398384,0.08333333333333333,4.257924311910252,0.041666666666666664,3.7948675268862684
Oz,0.25,28,0.025,0.0,0.08333333333333333,4.257924311910252,0.05833333333333333,4.257924311910252
Oz,0.25,29,0.020833333333333332,0.0,0.029166666666666667,0.03290421091831679,0.008333333333333335,0.03290421091831679
Oz,0.25,30,0.07083333333333333,2.823553652844113,0.07083333333333333,2.823553652844113,0.0,0.0
Oz,0.25,31,0.05416666666666667,1.279471656197856,0.0625,1.9937156013701594,0.008333333333333331,0.7142439451723033
Oz,0.25,32,0.07083333333333333,2.823553652844113,0.07916666666666666,3.7562353481180457,0.008333333333333331,0.9326816952739327
Oz,0.25,33,0.03333333333333333,0.12563930350495411,0.020833333333333332,0.0,-0.0125,-0.12563930350495411
Oz,0.25,34,0.041666666666666664,0.46305678502398384,0.05,0.9707211136362424,0.008333333333333338,0.5076643286122585
Oz,0.25,35,0.0375,0.2709103510767563,0.029166666666666667,0.03290421091831679,-0.008333333333333331,-0.23800614015843952
Oz,0.5,1,0.10833333333333334,6.012783498227034,0.20416666666666666,20.286593101032054,0.09583333333333333,14.27380960280502
Oz,0.5,2,0.15,11.552416007265835,0.20833333333333334,21.019288007612275,0.05833333333333335,9.46687200034644
Oz,0.5,3,0.4375,71.58894413099213,0.6458333333333334,132.22529026597434,0.20833333333333337,60.636346134982205
Oz,0.5,4,0.06666666666666667,1.8698257330443535,0.1125,6.511719051706309,0.04583333333333334,4.641893318661955
Oz,0.5,5,0.13333333333333333,9.196666595816223,0.19166666666666668,18.137699721616613,0.05833333333333335,8.94103312580039
Oz,0.5,6,0.13333333333333333,9.196666595816223,0.19583333333333333,18.84567013335462,0.0625,9.649003537538396
Oz,0.5,7,0.09583333333333334,4.599837886749534,0.125,8.086142641226283,0.02916666666666666,3.486304754476749
