setup,t_w,t_break,t_latency,t_comp,acc_fb_mean,acc_fb_sd,itr_fb_mean,itr_fb_sd,acc_ph_mean,acc_ph_sd,itr_ph_mean,itr_ph_sd,acc_pvalue,itr_pvalue,mat_file
All9,0.25,0.5,0.14,0.0,0.05416666666666667,0.020955524019410837,1.6733110453642719,1.8302163693654574,0.05797619047619048,0.023750890690458385,2.058448253610758,2.3069939315122596,0.1439960943520532,0.11451584000342793,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw0p25.mat
All9,0.5,0.5,0.14,0.0,0.20773809523809522,0.10602818472957785,23.504995585893774,19.52649783698918,0.2302380952380952,0.12361298637883454,28.24318930634172,24.256534423117298,0.0013428312266090074,0.0015959815745165294,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw0p50.mat
All9,0.75,0.5,0.14,0.0,0.44357142857142856,0.19113401812642894,64.81476595722597,41.03142258948999,0.47916666666666663,0.2171774710267357,73.9770304247188,47.77033101680494,0.0026700690040124355,0.001993863452241887,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw0p75.mat
All9,1.0,0.5,0.14,0.0,0.6413095238095238,0.21938893948732788,96.4958674057763,46.1927808763863,0.6661904761904763,0.23213710220547426,103.02042122745648,50.04657048041292,0.004968432905995517,0.003442854781618054,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw1p00.mat
All9,1.25,0.5,0.14,0.0,0.7579761904761905,0.20479438174793324,108.05286478810076,41.768338989277765,0.7722619047619047,0.21337034102151525,111.89206501843881,44.18247385421789,0.011058676196536082,0.0026631506387405812,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw1p25.mat
All9,1.5,0.5,0.14,0.0,0.8285714285714286,0.18067407049131085,109.5815719867671,35.32264327423175,0.8309523809523809,0.18516323204765647,110.31661184886757,36.03466523528379,0.5251374055588492,0.3552050914588133,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw1p50.mat
All9,1.75,0.5,0.14,0.0,0.8813095238095238,0.14598161728919118,107.82693318295645,27.17202608999161,0.8822619047619048,0.15047020141079445,108.2455005730643,27.97694248286522,0.6892268762404293,0.3599820133755489,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw1p75.mat
All9,2.0,0.5,0.14,0.0,0.9049999999999999,0.12941468913808002,101.84082303782249,22.445832821446466,0.9038095238095238,0.13220791670683968,101.72137132365494,22.914880605427495,0.5619205182587634,0.7496581491806439,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw2p00.mat
All9,2.25,0.5,0.14,0.0,0.9213095238095239,0.11381211686742763,95.74879076910403,18.771813371375167,0.9172619047619047,0.11966619753659127,95.14453215791899,19.527412726892635,0.026589961951504586,0.026281244946507017,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw2p25.mat
All9,2.5,0.5,0.14,0.0,0.9385714285714286,0.08958386261324981,90.68446824917967,14.398508669785295,0.935952380952381,0.09353644366333337,90.31271818273488,14.920603871491323,0.21321687252783347,0.21311199570266595,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw2p50.mat
All9,2.75,0.5,0.14,0.0,0.9486904761904762,0.07731167443968948,85.47391042138152,11.7996122380088,0.9482142857142857,0.07981728083145737,85.49644521573444,12.200908270039681,0.7807927569155604,0.9306532214412246,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw2p75.mat
All9,3.0,0.5,0.14,0.0,0.9585714285714285,0.06615106110376508,80.9969409989823,9.602573344849578,0.956547619047619,0.06869082208186171,80.74882262744052,10.020595866540972,0.24052932354621306,0.3048768451457145,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw3p00.mat
All9,3.25,0.5,0.14,0.0,0.9677380952380952,0.05292065039372851,77.0297613062463,7.4850253792242265,0.9651190476190474,0.05752313503648571,76.67440367876925,7.995721112819419,0.13462912182849737,0.12192105422777837,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw3p25.mat
All9,3.5,0.5,0.14,0.0,0.9729761904761904,0.046992596810511884,73.08418508847444,6.342718883560804,0.9704761904761904,0.05288231697943064,72.77526681173285,6.942775418289197,0.14689239987973152,0.14452098107762387,C:\Users\julie\OneDrive - Danmarks Tekniske Universitet\Master\11. Semester\22053 Principles of brain computer interfaces\Project\Scripts\Single Channel With Phase\TW_Grid\FBCCA_PHASE_All9_tw3p50.mat
